title,runtime,genre,rating,votes,metascore
Official Competition,114 min,"Comedy, Drama",7.2,"1,501",73
The Beta Test,93 min,"Comedy, Horror, Thriller",6.1,"4,240",72
12 Mighty Orphans,118 min,"History, Sport",6.9,"4,320",44
The Ravine,121 min,"Mystery, Thriller",4.6,804,
Things Heard & Seen,121 min,"Drama, Horror, Mystery",5.3,"30,102",49
Dashcam,77 min,Horror,4.7,235,45
Aftermath,114 min,"Drama, Horror, Mystery",5.3,"15,136",
'83,162 min,"Biography, Drama, History",7.6,"32,836",
Mass,111 min,Drama,7.6,"11,564",81
Werewolves Within,97 min,"Comedy, Horror, Mystery",6,"17,426",66
The Unholy,99 min,"Drama, Horror, Mystery",5.1,"19,409",36
Blood Red Sky,121 min,"Action, Adventure, Fantasy",6.1,"45,525",43
No One Gets Out Alive,85 min,"Drama, Horror, Mystery",5.3,"13,940",43
Tom & Jerry: The Movie,101 min,"Animation, Adventure, Comedy",5.2,"33,660",32
Every Breath You Take,105 min,"Drama, Mystery, Thriller",5.3,"4,967",32
Judas and the Black Messiah,126 min,"Biography, Drama, History",7.4,"73,481",85
Great Freedom,116 min,Drama,7.5,"2,318",89
Jolt,91 min,"Action, Comedy, Crime",5.6,"29,194",48
Coming 2 America,110 min,Comedy,5.3,"67,944",52
Dangerous,99 min,"Action, Thriller",5.1,"4,713",27
A Hero,127 min,Drama,7.5,"20,948",82
Sweet Girl,110 min,"Action, Drama, Thriller",5.5,"30,595",46
Compartment Number 6,107 min,"Drama, Romance",7.3,"7,043",80
A Mouthful of Air,105 min,Drama,5.9,"1,298",52
Back to the Outback,95 min,"Animation, Adventure, Comedy",6.5,"7,342",58
Love and Baseball,88 min,"Comedy, Drama, Romance",7.3,63,
Beckett,110 min,"Action, Crime, Drama",5.6,"25,261",52
France,133 min,"Comedy, Drama",5.9,"2,365",57
False Positive,92 min,"Horror, Mystery, Thriller",4.7,"5,199",54
Hypnotic,88 min,"Mystery, Thriller",5.3,"14,905",32
Master,179 min,"Action, Thriller",7.3,"71,131",
My Son,95 min,"Crime, Drama, Mystery",6,"10,000",
Midnight in the Switchgrass,99 min,"Action, Crime, Thriller",4.4,"6,055",24
Bad Luck Banging or Loony Porn,106 min,"Comedy, Drama",6.6,"6,752",74
Intrusion,92 min,"Drama, Thriller",5.2,"15,481",39
Vivo,95 min,"Animation, Adventure, Comedy",6.7,"17,659",66
Midnight,103 min,"Crime, Thriller",6.5,"2,773",
Demonic,104 min,"Drama, Horror, Sci-Fi",4.3,"4,202",36
The Trip,113 min,"Action, Comedy, Horror",6.9,"19,729",
Last Survivors,98 min,"Sci-Fi, Thriller",4.6,"1,374",
On the Count of Three,86 min,"Comedy, Drama",7.3,335,70
Pinocchio: A True Story,80 min,"Animation, Family, Fantasy",4.5,"1,125",
Anaïs in Love,98 min,"Comedy, Drama, Romance",6.4,453,72
Stars Fell on Alabama,103 min,"Comedy, Drama, Romance",5.5,849,
Around the World in 80 Days,82 min,"Animation, Adventure, Comedy",4.7,439,
Thunder Force,106 min,"Action, Adventure, Comedy",4.4,"40,795",34
The Colony,104 min,"Action, Adventure, Sci-Fi",5.3,"7,907",52
Land,89 min,"Adventure, Drama",6.6,"9,682",61
The Good Boss,120 min,Comedy,7.2,"4,552",
Green Ghost and the Masters of the Stone,95 min,"Action, Adventure, Comedy",5,217,
40-Love,98 min,"Comedy, Sport",5.1,165,
Charming the Hearts of Men,107 min,"Drama, History, Romance",6.5,"1,354",
Black Box,129 min,"Drama, Mystery, Thriller",7.2,"6,675",
You Are Not My Mother,93 min,"Drama, Horror",5.7,"1,522",74
Zeros and Ones,87 min,"Thriller, War",3.3,"1,875",61
Censor,84 min,"Horror, Mystery",6,"13,616",69
Dangerous,99 min,"Action, Romance, Thriller",3.8,331,
The Misfits,94 min,"Action, Adventure, Comedy",4.3,"9,432",25
The Wolf and the Lion,99 min,Family,5.9,"1,379",36
Fear Street: Part Two - 1978,109 min,"Drama, Horror, Mystery",6.7,"58,312",61
The Last Victim,103 min,"Action, Crime, Thriller",6.6,247,
Mothering Sunday,104 min,"Drama, Romance",5.9,"1,487",66
Vacation Friends,103 min,"Adventure, Comedy",6.3,"20,522",49
Luzifer,103 min,"Drama, Horror",5.7,348,66
How It Ends,82 min,Comedy,5,"2,352",57
I'm Your Man,108 min,"Comedy, Drama, Romance",7.1,"6,902",78
Nitram,112 min,"Drama, Thriller",7.2,"4,743",83
Love Hard,104 min,"Comedy, Romance",6.3,"48,819",42
7 Days,86 min,"Comedy, Drama",6.4,554,72
Marvelous and the Black Hole,81 min,Comedy,6.8,"1,876",64
Passing,98 min,Drama,6.7,"13,576",85
Jai Bhim,164 min,"Crime, Drama, Mystery",8.9,"188,456",
Injustice,78 min,"Animation, Action, Adventure",6.3,"10,937",
The Souvenir: Part II,107 min,"Drama, Romance",7.3,"2,008",90
Stowaway,116 min,"Adventure, Sci-Fi, Thriller",5.6,"44,771",63
Palmer,110 min,Drama,7.2,"33,549",53
Yes Day,86 min,"Comedy, Family",5.7,"23,156",46
The Map of Tiny Perfect Things,98 min,"Comedy, Fantasy, Romance",6.8,"21,038",61
There's Someone Inside Your House,96 min,"Horror, Mystery, Thriller",4.8,"14,438",45
Hit the Road,93 min,Drama,7.3,962,92
Moxie,111 min,"Comedy, Drama, Music",6.7,"24,456",54
The Lady of Heaven,141 min,"Action, Drama, History",6.5,"9,642",
My Little Pony: A New Generation,90 min,"Animation, Adventure, Comedy",6.8,"3,468",
Paranormal Activity: Next of Kin,98 min,"Horror, Mystery, Thriller",5.2,"10,037",37
The Seed,91 min,"Comedy, Horror, Sci-Fi",4.7,890,52
Respect,145 min,"Biography, Drama, Music",6.5,"11,808",61
Marcel the Shell with Shoes On,89 min,Comedy,7.6,132,80
Naked Singularity,93 min,"Comedy, Crime, Drama",4.6,"2,074",36
SAS: Red Notice,124 min,"Action, Thriller",5.2,"17,733",
Sundown,82 min,Drama,6.6,"1,834",70
Wired Shut,95 min,"Horror, Thriller",5.9,"4,200",
Prayers for the Stolen,110 min,Drama,7.3,"2,193",83
The Addams Family 2,93 min,"Animation, Adventure, Comedy",5.4,"10,091",37
Finding 'Ohana,123 min,"Action, Adventure, Comedy",6.1,"9,823",69
Awake,96 min,"Action, Adventure, Drama",4.8,"20,834",35
V/H/S/94,103 min,"Horror, Mystery, Thriller",5.4,"7,457",63
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,87 min,"Animation, Action, Fantasy",9,"6,789",
Oxygen,100 min,"Drama, Fantasy, Sci-Fi",6.5,"36,924",67
In the Earth,107 min,"Horror, Sci-Fi, Thriller",5.2,"7,656",63
My Hero Academia: World Heroes' Mission,101 min,"Animation, Action, Adventure",7.1,"3,203",51
Mother/Android,110 min,"Drama, Sci-Fi, Thriller",4.8,"17,598",43
Barbarians,89 min,Thriller,4.7,"1,006",53
Row 19,77 min,"Horror, Thriller",4.5,220,
Wild Men,104 min,Comedy,6.8,478,
Lost Illusions,149 min,"Drama, History, Romance",7.5,"2,234",
Fatherhood,109 min,"Comedy, Drama",6.6,"35,578",53
Wish Dragon,98 min,"Animation, Adventure, Comedy",7.2,"24,733",59
I Am Zlatan,100 min,"Biography, Drama, Sport",6.7,808,
Zone 414,98 min,"Sci-Fi, Thriller",4.9,"3,889",36
Black Friday,84 min,"Comedy, Horror",4.6,"4,914",52
Stanleyville,89 min,Comedy,4.5,131,51
Coming Home in the Dark,93 min,"Crime, Horror, Thriller",5.7,"4,636",64
Captain Nova,86 min,"Adventure, Family, Sci-Fi",5.5,"1,232",
The Phantom of the Open,106 min,"Comedy, Drama, Sport",7.3,"1,160",65
The Turning Point,97 min,"Crime, Drama",6.1,477,
Freaks Out,141 min,"Adventure, Drama, Fantasy",7.1,"3,872",
Here Today,117 min,"Comedy, Drama",6.6,"3,748",40
The Burning Sea,104 min,"Action, Drama, Thriller",6.3,"2,765",47
Good on Paper,92 min,"Comedy, Romance",5.6,"11,696",54
Time Is Up,108 min,"Drama, Romance",4.1,"1,780",
John and the Hole,103 min,"Drama, Horror, Thriller",5.3,"2,464",61
Cobalt Blue,112 min,"Drama, Romance",6.6,"1,267",
Man of God,109 min,"Biography, Drama",7,"2,399",
Crisis,118 min,"Drama, Thriller",6.1,"9,480",41
American Siege,91 min,"Action, Thriller",3.3,"1,332",
Lansky,119 min,"Biography, Crime, Drama",6.2,"5,774",45
The Starling,102 min,"Comedy, Drama",6.3,"12,171",31
"Batman: The Long Halloween, Part One",85 min,"Animation, Action, Crime",7.2,"14,951",
Scarborough,136 min,Drama,6.9,191,
Peter Rabbit 2: The Runaway,93 min,"Adventure, Comedy, Crime",6.2,"10,730",43
Benediction,137 min,"Biography, Drama, War",6.9,306,75
The Survivalist,91 min,"Action, Sci-Fi, Thriller",3.5,"1,164",
More the Merrier,111 min,Comedy,5.4,"3,084",
The Birthday Cake,93 min,"Crime, Thriller",4.3,"1,313",58
The Spine of Night,93 min,"Animation, Action, Adventure",6.3,"1,622",58
Mad God,83 min,"Animation, Fantasy, Horror",7,"1,182",
Wolf,99 min,"Drama, Mystery, Thriller",5.6,"8,476",52
Aileen Wuornos: American Boogeywoman,85 min,"Drama, Horror, Thriller",3.6,"1,431",
Language Lessons,91 min,"Comedy, Drama",7.1,"1,754",68
Rocky,129 min,Drama,8.1,"1,086",
Nightbooks,103 min,"Family, Fantasy, Horror",5.7,"8,282",65
Cosmic Sin,88 min,"Action, Adventure, Sci-Fi",2.5,"12,291",9
Deadlock,97 min,"Action, Thriller",3.4,"1,056",
Murina,96 min,Drama,6.8,"1,030",74
A Classic Horror Story,95 min,"Drama, Horror, Mystery",5.7,"16,859",
The Witcher: Nightmare of the Wolf,83 min,"Animation, Action, Adventure",7.2,"41,754",67
Bliss,103 min,"Drama, Romance",5.3,"17,236",40
Encounter,108 min,"Drama, Sci-Fi, Thriller",5.8,"9,132",57
The Virtuoso,110 min,"Action, Thriller",4.9,"6,707",24
The Kissing Booth 3,112 min,"Comedy, Romance",4.7,"15,553",36
Small Engine Repair,102 min,"Comedy, Drama, Thriller",6.5,"2,993",57
Blue Bayou,117 min,Drama,7,"5,579",58
Hide and Seek,83 min,"Mystery, Thriller",4,560,
The United States vs. Billie Holiday,126 min,"Biography, Drama, Music",6.2,"12,623",52
Spirit Untamed,88 min,"Animation, Adventure, Comedy",5.5,"3,451",49
Fear of Rain,109 min,"Drama, Horror, Thriller",5.9,"7,216",
Bergman Island,112 min,Drama,6.7,"5,028",81
Ida Red,111 min,"Action, Crime, Drama",5.5,"1,229",46
Space Sweepers,136 min,"Action, Adventure, Drama",6.5,"24,674",64
Fear Street: Part Three - 1666,114 min,"Horror, Mystery",6.6,"48,235",68
Where Is Anne Frank,99 min,"Animation, Drama, Family",6.2,536,
Colors of Love,85 min,"Drama, Romance",5.6,"1,149",
Trust,94 min,"Drama, Romance, Thriller",5.3,"1,724",
Deadly Illusions,114 min,"Drama, Thriller",3.7,"11,891",
Apex,93 min,Sci-Fi,2.9,"4,490",
Last Man Down,87 min,"Action, Sci-Fi",4.4,"10,913",
Playground,72 min,Drama,7.3,"1,633",86
Brother in Love 2,115 min,Comedy,6.6,"1,376",
Dziewczyny z Dubaju,146 min,Drama,4.9,705,
Survive the Game,97 min,"Action, Thriller",3.3,"3,452",
Lady of the Manor,96 min,Comedy,5.3,"1,637",30
Indemnity,124 min,"Action, Thriller",4.7,239,57
Flag Day,109 min,"Crime, Drama",5,"1,616",53
Bad Trip,86 min,Comedy,6.5,"23,993",61
Locked Down,118 min,"Comedy, Crime, Romance",5.2,"11,593",42
Outside the Wire,114 min,"Action, Adventure, Fantasy",5.4,"41,575",45
Broadcast Signal Intrusion,104 min,"Crime, Drama, Horror",5.4,"1,672",
Church People,96 min,Comedy,4.6,242,
Ted K,120 min,"Biography, Crime, Drama",6,"2,142",70
American Sicario,101 min,"Action, Crime, Drama",6,"10,338",
Together Together,90 min,"Comedy, Drama",6.4,"6,304",70
The Road Dance,116 min,Drama,8.1,56,
The Quiet Girl,94 min,Drama,8.4,59,
Ted Bundy: American Boogeyman,110 min,"Crime, Drama",3.7,"1,061",
Warning,86 min,"Sci-Fi, Thriller",4.7,"4,947",53
The Hunting,93 min,"Horror, Mystery, Thriller",2.9,278,
13 Minutes,108 min,"Action, Drama, Thriller",4.6,"2,097",40
The Novice,97 min,"Drama, Sport, Thriller",6.5,"4,100",85
Karen,89 min,"Crime, Drama, Thriller",2.7,"2,345",
The White Tiger,125 min,"Crime, Drama",7.1,"58,865",76
Madeleine Collins,102 min,"Drama, Thriller",6.3,504,
Separation,107 min,Horror,4.7,"2,773",
Home Sweet Home Alone,93 min,"Comedy, Crime, Family",3.6,"16,149",35
Queen Bees,100 min,"Comedy, Drama, Romance",6.2,"1,819",52
Yakuza Princess,111 min,Thriller,4.7,"1,378",34
I'm Sorry If I Took a Toll on You,84 min,Thriller,4.6,49,
Needle in a Timestack,111 min,"Drama, Fantasy, Romance",4.8,"1,332",42
Zero Fucks Given,115 min,"Comedy, Drama",6.4,"1,358",77
Out of Death,96 min,"Crime, Thriller",3.2,"4,599",
All My Friends Hate Me,93 min,"Comedy, Horror",5.9,"1,102",79
Ride the Eagle,88 min,"Comedy, Drama",6.4,"2,225",54
The Feast,93 min,"Drama, Horror, Mystery",5.4,"1,853",68
No Man of God,100 min,"Biography, Crime, Drama",6.4,"6,332",67
Madame Claude,112 min,"Biography, Crime, Drama",5.4,"3,315",
Deception,105 min,Drama,5.7,319,42
Below Zero,106 min,"Action, Adventure, Crime",6.2,"18,846",
Together,92 min,"Comedy, Drama, Romance",6.3,"3,596",59
Extinct,84 min,"Animation, Adventure, Comedy",5.4,"2,397",
Agnes,93 min,"Drama, Horror",4,"1,041",65
The Colour Room,108 min,Drama,6.7,904,
The Scary of Sixty-First,81 min,"Comedy, Horror, Mystery",4.6,"1,885",48
The Girl Who Got Away,116 min,"Horror, Thriller",5.3,"5,544",
Anne+,94 min,Drama,6.1,"1,336",
The Righteous,97 min,"Drama, Horror, Mystery",7.3,86,
Die in a Gunfight,92 min,"Action, Comedy, Crime",4.4,"2,426",23
Maanaadu,147 min,"Action, Adventure, Sci-Fi",8.4,"20,949",
A Chiara,121 min,Drama,7.1,675,72
The Man with the Answers,80 min,"Drama, Romance",6.8,"2,149",
Pompo: The Cinephile,94 min,"Animation, Comedy, Drama",7,355,66
Delicious,112 min,"Comedy, Drama, History",6.9,"1,791",
War of the Worlds: Annihilation,113 min,"Action, Sci-Fi",2.2,285,
Paul Dood's Deadly Lunch Break,95 min,"Action, Comedy, Thriller",5.5,271,
Breaking News in Yuba County,96 min,"Comedy, Crime, Drama",5.7,"5,397",24
The Most Reluctant Convert,73 min,"Biography, Drama, History",6.7,515,
Settlers,103 min,"Drama, Sci-Fi, Thriller",4.7,"4,733",56
The Gateway,91 min,Thriller,4.7,769,58
The Tale of King Crab,105 min,"Adventure, Drama",6.6,393,73
Peace by Chocolate,96 min,"Comedy, Drama",8.2,77,
American Night,123 min,"Action, Crime, Drama",4.3,"2,893",
A Journal for Jordan,131 min,Drama,5.7,"1,392",42
Mayday,100 min,"Drama, Fantasy, Mystery",4.1,"1,182",45
Sardar Udham,164 min,"Biography, Crime, Drama",8.5,"39,240",
Everybody's Talking About Jamie,115 min,"Biography, Comedy, Drama",6.3,"6,554",62
"Batman: The Long Halloween, Part Two",87 min,"Animation, Action, Crime",7.1,"12,051",
The Story of My Wife,169 min,"Drama, Romance",6.2,"1,135",40
